Wavelength(nm),PHATh
341.409,0.474
341.79,0.444
342.17,0.445
342.55,0.436
342.931,0.436
343.311,0.441
343.691,0.448
344.071,0.448
344.451,0.458
344.831,0.465
345.211,0.475
345.591,0.476
345.971,0.479
346.351,0.483
346.731,0.487
347.111,0.491
347.49,0.496
347.87,0.502
348.25,0.505
348.629,0.508
349.009,0.512
349.389,0.515
349.768,0.52
350.147,0.522
350.527,0.528
350.906,0.532
351.286,0.538
351.665,0.544
352.044,0.55
352.423,0.554
352.802,0.56
353.182,0.565
353.561,0.57
353.94,0.573
354.319,0.578
354.698,0.582
355.077,0.585
355.455,0.589
355.834,0.594
356.213,0.598
356.592,0.603
356.971,0.607
357.349,0.615
357.728,0.623
358.106,0.633
358.485,0.641
358.863,0.649
359.242,0.657
359.62,0.666
359.999,0.673
360.377,0.679
360.755,0.686
361.133,0.694
361.512,0.702
361.89,0.71
362.268,0.718
362.646,0.726
363.024,0.732
363.402,0.737
363.78,0.744
364.158,0.752
364.536,0.759
364.914,0.766
365.291,0.773
365.669,0.78
366.047,0.788
366.424,0.796
366.802,0.804
367.18,0.809
367.557,0.816
367.935,0.824
368.312,0.83
368.689,0.837
369.067,0.846
369.444,0.855
369.821,0.862
370.198,0.869
370.576,0.878
370.953,0.885
371.33,0.892
371.707,0.901
372.084,0.908
372.461,0.917
372.838,0.926
373.215,0.936
373.592,0.943
373.968,0.951
374.345,0.96
374.722,0.966
375.098,0.974
375.475,0.982
375.852,0.99
376.228,0.998
376.605,1.005
376.981,1.011
377.358,1.019
377.734,1.025
378.11,1.032
378.487,1.04
378.863,1.05
379.239,1.06
379.615,1.066
379.991,1.075
380.367,1.084
380.743,1.091
381.119,1.099
381.495,1.107
381.871,1.115
382.247,1.121
382.623,1.13
382.999,1.136
383.374,1.144
383.75,1.153
384.126,1.16
384.501,1.167
384.877,1.175
385.252,1.181
385.628,1.19
386.003,1.196
386.379,1.205
386.754,1.212
387.129,1.22
387.505,1.231
387.88,1.236
388.255,1.241
388.63,1.246
389.005,1.254
389.38,1.261
389.755,1.269
390.13,1.277
390.505,1.285
390.88,1.291
391.255,1.3
391.63,1.307
392.005,1.316
392.379,1.324
392.754,1.331
393.129,1.339
393.503,1.347
393.878,1.355
394.252,1.361
394.627,1.365
395.001,1.373
395.375,1.379
395.75,1.383
396.124,1.39
396.498,1.395
396.872,1.403
397.247,1.409
397.621,1.415
397.995,1.423
398.369,1.43
398.743,1.438
399.117,1.444
399.491,1.451
399.864,1.457
400.238,1.464
400.612,1.471
400.986,1.478
401.359,1.486
401.733,1.491
402.107,1.498
402.48,1.503
402.854,1.508
403.227,1.516
403.601,1.523
403.974,1.528
404.347,1.535
404.721,1.543
405.094,1.548
405.467,1.552
405.84,1.558
406.213,1.566
406.586,1.569
406.959,1.575
407.332,1.58
407.705,1.586
408.078,1.593
408.451,1.597
408.824,1.603
409.197,1.609
409.569,1.614
409.942,1.619
410.315,1.625
410.687,1.631
411.06,1.639
411.432,1.644
411.805,1.65
412.177,1.652
412.55,1.657
412.922,1.662
413.294,1.667
413.667,1.671
414.039,1.676
414.411,1.679
414.783,1.683
415.155,1.686
415.527,1.689
415.899,1.694
416.271,1.699
416.643,1.702
417.015,1.707
417.387,1.71
417.759,1.713
418.13,1.716
418.502,1.72
418.874,1.723
419.245,1.726
419.617,1.726
419.988,1.726
420.36,1.724
420.731,1.727
421.103,1.725
421.474,1.724
421.845,1.723
422.217,1.72
422.588,1.715
422.959,1.71
423.33,1.704
423.701,1.697
424.072,1.689
424.443,1.678
424.814,1.667
425.185,1.655
425.556,1.641
425.927,1.626
426.298,1.609
426.668,1.593
427.039,1.576
427.41,1.557
427.78,1.538
428.151,1.518
428.521,1.498
428.892,1.477
429.262,1.455
429.633,1.434
430.003,1.413
430.373,1.392
430.744,1.371
431.114,1.349
431.484,1.327
431.854,1.306
432.224,1.284
432.594,1.264
432.964,1.243
433.334,1.223
433.704,1.204
434.074,1.184
434.444,1.165
434.814,1.147
435.183,1.128
435.553,1.111
435.923,1.093
436.292,1.076
436.662,1.059
437.031,1.042
437.401,1.027
437.77,1.011
438.14,0.996
438.509,0.981
438.878,0.966
439.248,0.952
439.617,0.938
439.986,0.924
440.355,0.911
440.724,0.898
441.093,0.885
441.462,0.873
441.831,0.861
442.2,0.849
442.569,0.838
442.938,0.826
443.307,0.815
443.675,0.804
444.044,0.794
444.413,0.784
444.781,0.774
445.15,0.764
445.518,0.754
445.887,0.745
446.255,0.736
446.624,0.727
446.992,0.718
447.36,0.71
447.728,0.702
448.097,0.694
448.465,0.686
448.833,0.678
449.201,0.67
449.569,0.663
449.937,0.655
450.305,0.648
450.673,0.641
451.041,0.634
451.409,0.628
451.776,0.621
452.144,0.615
452.512,0.608
452.879,0.602
453.247,0.596
453.614,0.59
453.982,0.584
454.349,0.578
454.717,0.572
455.084,0.567
455.452,0.561
455.819,0.555
456.186,0.55
456.553,0.545
456.92,0.54
457.288,0.535
457.655,0.53
458.022,0.525
458.389,0.52
458.756,0.515
459.122,0.51
459.489,0.505
459.856,0.501
460.223,0.496
460.59,0.491
460.956,0.487
461.323,0.482
461.689,0.478
462.056,0.473
462.422,0.469
462.789,0.464
463.155,0.46
463.522,0.456
463.888,0.452
464.254,0.447
464.62,0.443
464.987,0.439
465.353,0.435
465.719,0.431
466.085,0.427
466.451,0.423
466.817,0.419
467.183,0.415
467.549,0.411
467.915,0.407
468.28,0.403
468.646,0.399
469.012,0.396
469.377,0.392
469.743,0.388
470.109,0.384
470.474,0.381
470.84,0.377
471.205,0.374
471.57,0.37
471.936,0.367
472.301,0.364
472.666,0.36
473.031,0.357
473.397,0.354
473.762,0.35
474.127,0.347
474.492,0.344
474.857,0.341
475.222,0.338
475.587,0.336
475.952,0.333
476.316,0.33
476.681,0.327
477.046,0.324
477.411,0.322
477.775,0.319
478.14,0.316
478.504,0.314
478.869,0.312
479.233,0.309
479.598,0.307
479.962,0.305
480.326,0.303
480.691,0.3
481.055,0.298
481.419,0.296
481.783,0.294
482.147,0.293
482.511,0.291
482.875,0.289
483.239,0.287
483.603,0.285
483.967,0.284
484.331,0.282
484.695,0.28
485.058,0.279
485.422,0.277
485.786,0.276
486.149,0.275
486.513,0.273
486.877,0.272
487.24,0.271
487.603,0.27
487.967,0.269
488.33,0.268
488.693,0.267
489.057,0.266
489.42,0.265
489.783,0.264
490.146,0.263
490.509,0.262
490.872,0.262
491.235,0.261
491.598,0.26
491.961,0.26
492.324,0.259
492.687,0.259
493.05,0.259
493.412,0.258
493.775,0.258
494.138,0.258
494.5,0.257
494.863,0.257
495.225,0.257
495.588,0.257
495.95,0.257
496.312,0.257
496.675,0.257
497.037,0.258
497.399,0.258
497.761,0.258
498.123,0.258
498.486,0.259
498.848,0.259
499.21,0.259
499.572,0.26
499.933,0.26
500.295,0.261
500.657,0.262
501.019,0.262
501.381,0.263
501.742,0.264
502.104,0.264
502.466,0.265
502.827,0.266
503.189,0.267
503.55,0.268
503.911,0.269
504.273,0.27
504.634,0.272
504.995,0.273
505.357,0.274
505.718,0.276
506.079,0.277
506.44,0.278
506.801,0.28
507.162,0.282
507.523,0.283
507.884,0.285
508.245,0.286
508.606,0.288
508.967,0.29
509.327,0.292
509.688,0.294
510.049,0.296
510.409,0.298
510.77,0.3
511.13,0.302
511.491,0.304
511.851,0.306
512.212,0.308
512.572,0.311
512.932,0.313
513.293,0.315
513.653,0.318
514.013,0.321
514.373,0.323
514.733,0.326
515.093,0.329
515.453,0.331
515.813,0.334
516.173,0.337
516.533,0.34
516.892,0.343
517.252,0.346
517.612,0.349
517.972,0.352
518.331,0.355
518.691,0.358
519.05,0.361
519.41,0.365
519.769,0.368
520.129,0.371
520.488,0.375
520.847,0.378
521.206,0.381
521.566,0.385
521.925,0.389
522.284,0.392
522.643,0.396
523.002,0.399
523.361,0.403
523.72,0.407
524.079,0.411
524.438,0.415
524.797,0.418
525.155,0.422
525.514,0.426
525.873,0.43
526.231,0.434
526.59,0.438
526.948,0.442
527.307,0.447
527.665,0.451
528.024,0.455
528.382,0.46
528.74,0.464
529.099,0.468
529.457,0.473
529.815,0.477
530.173,0.482
530.531,0.486
530.889,0.491
531.247,0.495
531.605,0.5
531.963,0.505
532.321,0.51
532.679,0.515
533.036,0.519
533.394,0.524
533.752,0.529
534.109,0.534
534.467,0.539
534.824,0.544
535.182,0.549
535.539,0.554
535.897,0.559
536.254,0.565
536.611,0.57
536.969,0.575
537.326,0.58
537.683,0.586
538.04,0.591
538.397,0.596
538.754,0.602
539.111,0.607
539.468,0.612
539.825,0.618
540.182,0.624
540.539,0.629
540.895,0.635
541.252,0.64
541.609,0.646
541.965,0.652
542.322,0.657
542.678,0.663
543.035,0.669
543.391,0.674
543.748,0.68
544.104,0.686
544.46,0.692
544.817,0.698
545.173,0.704
545.529,0.71
545.885,0.716
546.241,0.721
546.597,0.727
546.953,0.733
547.309,0.739
547.665,0.745
548.021,0.751
548.377,0.757
548.732,0.763
549.088,0.769
549.444,0.775
549.799,0.781
550.155,0.787
550.51,0.794
550.866,0.8
551.221,0.806
551.577,0.812
551.932,0.818
552.287,0.824
552.643,0.83
552.998,0.837
553.353,0.843
553.708,0.849
554.063,0.856
554.418,0.862
554.773,0.868
555.128,0.874
555.483,0.88
555.838,0.887
556.192,0.893
556.547,0.899
556.902,0.905
557.257,0.911
557.611,0.918
557.966,0.924
558.32,0.93
558.675,0.936
559.029,0.942
559.383,0.948
559.738,0.955
560.092,0.961
560.446,0.967
560.8,0.973
561.155,0.979
561.509,0.985
561.863,0.991
562.217,0.997
562.571,1.003
562.925,1.01
563.278,1.016
563.632,1.022
563.986,1.028
564.34,1.034
564.693,1.04
565.047,1.046
565.401,1.052
565.754,1.058
566.108,1.064
566.461,1.07
566.815,1.075
567.168,1.081
567.521,1.087
567.874,1.093
568.228,1.098
568.581,1.104
568.934,1.11
569.287,1.116
569.64,1.122
569.993,1.127
570.346,1.133
570.699,1.139
571.052,1.144
571.405,1.15
571.757,1.155
572.11,1.161
572.463,1.167
572.815,1.172
573.168,1.178
573.52,1.184
573.873,1.189
574.225,1.195
574.578,1.2
574.93,1.206
575.282,1.211
575.635,1.217
575.987,1.222
576.339,1.228
576.691,1.233
577.043,1.239
577.395,1.244
577.747,1.25
578.099,1.255
578.451,1.26
578.803,1.265
579.154,1.271
579.506,1.276
579.858,1.281
580.209,1.287
580.561,1.292
580.913,1.297
581.264,1.303
581.616,1.308
581.967,1.313
582.318,1.319
582.67,1.324
583.021,1.329
583.372,1.334
583.723,1.339
584.074,1.344
584.426,1.35
584.777,1.355
585.128,1.36
585.479,1.365
585.829,1.37
586.18,1.375
586.531,1.38
586.882,1.385
587.233,1.39
587.583,1.395
587.934,1.4
588.284,1.405
588.635,1.41
588.985,1.415
589.336,1.42
589.686,1.425
590.037,1.43
590.387,1.434
590.737,1.439
591.087,1.444
591.437,1.448
591.788,1.453
592.138,1.457
592.488,1.462
592.838,1.467
593.188,1.471
593.537,1.475
593.887,1.48
594.237,1.484
594.587,1.488
594.936,1.492
595.286,1.496
595.636,1.5
595.985,1.504
596.335,1.508
596.684,1.512
597.034,1.516
597.383,1.519
597.732,1.523
598.081,1.527
598.431,1.53
598.78,1.533
599.129,1.537
599.478,1.54
599.827,1.543
600.176,1.546
600.525,1.549
600.874,1.552
601.223,1.555
601.572,1.558
601.92,1.561
602.269,1.564
602.618,1.567
602.966,1.569
603.315,1.571
603.663,1.573
604.012,1.575
604.36,1.577
604.709,1.58
605.057,1.582
605.405,1.584
605.753,1.586
606.102,1.588
606.45,1.59
606.798,1.591
607.146,1.593
607.494,1.595
607.842,1.596
608.19,1.597
608.538,1.598
608.885,1.6
609.233,1.601
609.581,1.602
609.929,1.603
610.276,1.604
610.624,1.605
610.971,1.606
611.319,1.606
611.666,1.607
612.014,1.607
612.361,1.608
612.708,1.608
613.056,1.608
613.403,1.609
613.75,1.609
614.097,1.609
614.444,1.609
614.791,1.609
615.138,1.609
615.485,1.609
615.832,1.608
616.179,1.608
616.525,1.608
616.872,1.607
617.219,1.607
617.566,1.606
617.912,1.606
618.259,1.605
618.605,1.605
618.952,1.604
619.298,1.603
619.644,1.603
619.991,1.602
620.337,1.601
620.683,1.6
621.029,1.599
621.375,1.599
621.721,1.598
622.067,1.597
622.413,1.596
622.759,1.595
623.105,1.594
623.451,1.593
623.797,1.593
624.143,1.592
624.488,1.591
624.834,1.59
625.18,1.589
625.525,1.588
625.871,1.587
626.216,1.586
626.561,1.585
626.907,1.584
627.252,1.583
627.597,1.582
627.943,1.581
628.288,1.58
628.633,1.579
628.978,1.579
629.323,1.578
629.668,1.577
630.013,1.576
630.358,1.576
630.703,1.575
631.047,1.574
631.392,1.573
631.737,1.573
632.082,1.572
632.426,1.571
632.771,1.57
633.115,1.569
633.46,1.569
633.804,1.568
634.148,1.567
634.493,1.567
634.837,1.566
635.181,1.565
635.525,1.565
635.87,1.564
636.214,1.564
636.558,1.563
636.902,1.563
637.246,1.562
637.589,1.562
637.933,1.561
638.277,1.56
638.621,1.56
638.965,1.559
639.308,1.559
639.652,1.558
639.995,1.558
640.339,1.557
640.682,1.557
641.026,1.556
641.369,1.556
641.712,1.556
642.056,1.555
642.399,1.555
642.742,1.554
643.085,1.554
643.428,1.553
643.771,1.552
644.114,1.551
644.457,1.551
644.8,1.55
645.143,1.549
645.486,1.548
645.828,1.547
646.171,1.546
646.514,1.545
646.856,1.544
647.199,1.543
647.541,1.542
647.884,1.541
648.226,1.539
648.569,1.538
648.911,1.536
649.253,1.535
649.596,1.533
649.938,1.531
650.28,1.53
650.622,1.528
650.964,1.526
651.306,1.523
651.648,1.521
651.99,1.519
652.332,1.516
652.673,1.514
653.015,1.511
653.357,1.508
653.698,1.505
654.04,1.501
654.382,1.498
654.723,1.495
655.065,1.491
655.406,1.487
655.747,1.483
656.089,1.478
656.43,1.474
656.771,1.47
657.112,1.465
657.453,1.46
657.794,1.455
658.135,1.45
658.476,1.444
658.817,1.439
659.158,1.433
659.499,1.427
659.84,1.421
660.181,1.415
660.521,1.408
660.862,1.402
661.202,1.395
661.543,1.388
661.883,1.38
662.224,1.373
662.564,1.365
662.905,1.358
663.245,1.349
663.585,1.341
663.925,1.333
664.266,1.324
664.606,1.315
664.946,1.306
665.286,1.297
665.626,1.288
665.966,1.278
666.306,1.269
666.645,1.259
666.985,1.249
667.325,1.239
667.665,1.229
668.004,1.219
668.344,1.208
668.683,1.198
669.023,1.187
669.362,1.176
669.702,1.166
670.041,1.155
670.38,1.144
670.719,1.133
671.059,1.122
671.398,1.111
671.737,1.099
672.076,1.088
672.415,1.076
672.754,1.065
673.093,1.053
673.432,1.042
673.77,1.03
674.109,1.018
674.448,1.007
674.787,0.995
675.125,0.983
675.464,0.972
675.802,0.96
676.141,0.948
676.479,0.936
676.818,0.925
677.156,0.913
677.494,0.902
677.832,0.89
678.171,0.879
678.509,0.867
678.847,0.856
679.185,0.844
679.523,0.833
679.861,0.822
680.199,0.81
680.536,0.799
680.874,0.788
681.212,0.777
681.55,0.766
681.887,0.755
682.225,0.744
682.562,0.733
682.9,0.722
683.237,0.712
683.575,0.701
683.912,0.691
684.249,0.68
684.587,0.67
684.924,0.66
685.261,0.65
685.598,0.64
685.935,0.63
686.272,0.621
686.609,0.611
686.946,0.602
687.283,0.593
687.62,0.583
687.957,0.574
688.293,0.565
688.63,0.556
688.967,0.547
689.303,0.539
689.64,0.53
689.976,0.522
690.313,0.513
690.649,0.505
690.985,0.497
691.322,0.489
691.658,0.481
691.994,0.474
692.33,0.466
692.666,0.459
693.002,0.451
693.338,0.444
693.674,0.437
694.01,0.43
694.346,0.423
694.682,0.416
695.018,0.41
695.353,0.403
695.689,0.397
696.025,0.391
696.36,0.385
696.696,0.378
697.031,0.372
697.366,0.367
697.702,0.361
698.037,0.356
698.372,0.35
698.708,0.344
699.043,0.339
699.378,0.334
699.713,0.329
700.048,0.324
700.383,0.319
700.718,0.314
701.053,0.31
701.388,0.305
701.722,0.301
702.057,0.296
702.392,0.292
702.726,0.288
703.061,0.284
703.395,0.28
703.73,0.276
704.064,0.272
704.399,0.268
704.733,0.265
705.067,0.261
705.402,0.258
705.736,0.254
706.07,0.251
706.404,0.248
